ID,Name,Platform_id,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
1410,Gardening Mama,4,2009,Puzzle,505 Games,0.8,0.43,0.01,0.13,1.38
1411,Dave Mirra Freestyle BMX 2,16,2001,Sports,Acclaim Entertainment,0.67,0.53,0,0.18,1.38
1412,Need for Speed: The Run,28,2011,Action,Electronic Arts,0.63,0.58,0,0.15,1.38
1413,LEGO Indiana Jones: The Original Adventures,16,2008,Action,LucasArts,0.6,0.01,0,0.76,1.37
1414,Assassin's Creed: Rogue,17,2014,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37
1415,Ridge Racer 7,17,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37
1416,A Collection of Activision Classic Games for the Atari 2600,15,1998,Misc,Activision,0.76,0.52,0,0.09,1.37
1417,Forza Horizon 2,30,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37
1418,MotorStorm: Pacific Rift,17,2008,Racing,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37
1419,Sonic Colors,4,2010,Platform,Sega,0.74,0.5,0.01,0.13,1.37
1420,Star Wars Knights of the Old Republic II: The Sith Lords,29,2004,Role-Playing,Activision,0.99,0.33,0,0.05,1.37
1421,LEGO Harry Potter: Years 1-4,17,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.6,0,0.22,1.37
1422,Pocket Monsters Stadium,10,1998,Strategy,Nintendo,0,0,1.37,0,1.37
1423,NBA 2K15,17,2014,Sports,Take-Two Interactive,0.86,0.27,0.02,0.22,1.36
1424,Tom Clancy's Ghost Recon 2,29,2004,Shooter,Ubisoft,0.86,0.45,0,0.06,1.36
1425,Crash Bandicoot 2: N-Tranced,6,2003,Platform,Vivendi Games,0.63,0.66,0,0.07,1.36
1426,Burnout Paradise,28,2008,Racing,Electronic Arts,0.63,0.58,0.01,0.15,1.36
1427,SingStar Abba,16,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36
1428,Gradius,11,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1,0.01,1.36
1429,Dragon Quest III: Soshite Densetsu e...,23,1996,Role-Playing,Enix Corporation,0,0,1.36,0,1.36
1430,Centipede,31,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36
1431,Yoshi's New Island,2,2014,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36
1432,Ryse: Son of Rome,30,2013,Action,Microsoft Game Studios,0.82,0.42,0,0.11,1.36
1433,Dead to Rights,16,2002,Shooter,Electronic Arts,0.67,0.52,0,0.17,1.36
1434,LEGO Harry Potter: Years 5-7,25,,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
1435,Marvel vs. Capcom 3: Fate of Two Worlds,17,2011,Fighting,Capcom,0.81,0.29,0.11,0.14,1.35
1436,Dance Dance Revolution (Japan),15,1999,Simulation,Konami Digital Entertainment,0,0,1.26,0.09,1.35
1437,F1 2010,17,2010,Racing,Codemasters,0.25,0.76,0.08,0.27,1.35
1438,Madden NFL 98,15,1997,Sports,Electronic Arts,1.29,0.03,0,0.03,1.35
1439,FIFA Soccer 09,19,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35
1440,Namco Museum DS,4,2007,Misc,Atari,1.18,0.01,0.06,0.09,1.35
1441,FIFA Soccer 08,19,2007,Sports,Electronic Arts,0.2,0.76,0,0.39,1.35
1442,Grand Theft Auto: Chinatown Wars,4,2009,Action,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35
1443,Alan Wake,28,2010,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35
1444,Battlefield: Bad Company,17,2008,Shooter,Electronic Arts,0.76,0.36,0.05,0.18,1.35
1445,Mortal Kombat X,30,2015,Fighting,Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35
1446,Samurai Warriors,16,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35
1447,The Simpsons: Hit & Run,29,2003,Racing,Vivendi Games,0.7,0.58,0,0.07,1.35
1448,Devil May Cry 4,28,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.35
1449,Tom Clancy's Rainbow Six: Vegas 2,17,2008,Shooter,Ubisoft,0.66,0.45,0.04,0.21,1.35
1450,Monster Hunter Freedom,19,2005,Role-Playing,Capcom,0.24,0.04,1.03,0.04,1.35
1451,Crysis 2,28,2011,Action,Electronic Arts,0.7,0.5,0.02,0.12,1.35
1452,SaGa Frontier,15,1997,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35
1453,SingStar Party,16,2004,Misc,Sony Computer Entertainment,0,1.04,0,0.31,1.35
1454,FIFA Soccer 08,28,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35
1455,The ICO & Shadow of the Colossus Collection,17,2011,Adventure,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35
1456,Test Drive,16,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34
1457,Mario & Luigi: Partners in Time,4,2005,Role-Playing,Nintendo,0.77,0.07,0.43,0.08,1.34
1458,Lost Planet: Extreme Condition,28,2006,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
1459,Mortal Kombat 3,8,1994,Fighting,Acclaim Entertainment,1.03,0.27,0,0.04,1.34
1460,Doom 3,29,2005,Shooter,Activision,0.85,0.43,0,0.06,1.34
1461,Donkey Kong Jungle Beat,7,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34
1462,Need for Speed Carbon,16,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34
1463,Max Payne 2: The Fall of Max Payne,16,2003,Shooter,Take-Two Interactive,0.65,0.51,0,0.17,1.34
1464,Command & Conquer: Red Alert 2,13,2000,Strategy,Electronic Arts,1.32,0.02,0,0,1.34
1465,MVP Baseball 2004,16,2004,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34
1466,WWE SmackDown vs Raw 2008,17,2007,Fighting,THQ,0.62,0.5,0.01,0.21,1.33
1467,Ratchet & Clank: Up Your Arsenal (Weekly american sales),16,2004,Platform,Sony Computer Entertainment,1.27,0.05,0,0.02,1.33
1468,Your Shape: Fitness Evolved,28,2010,Sports,Ubisoft,0.79,0.42,0,0.11,1.33
1469,Rage,17,2011,Shooter,Bethesda Softworks,0.47,0.59,0.06,0.21,1.33
1470,Skylanders SWAP Force,28,2013,Platform,Activision,0.86,0.36,0,0.11,1.33
1471,NBA 2K14,18,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33
1472,Spider-Man: The Movie,6,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33
1473,WWF War Zone,10,1998,Fighting,Acclaim Entertainment,1.08,0.24,0,0.02,1.33
1474,Tony Hawk's Pro Skater,5,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33
1475,The Sims: Bustin' Out,6,2003,Simulation,Electronic Arts,0.93,0.35,0,0.06,1.33
1476,Triple Play 2001,15,2000,Sports,Electronic Arts,0.74,0.5,0,0.09,1.33
1477,Metroid Prime 2: Echoes,7,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
1478,UFC Undisputed 2010,28,2010,Fighting,THQ,0.9,0.31,0,0.11,1.33
1479,Final Fantasy X / X-2 HD Remaster,17,2013,Role-Playing,Square Enix,0.43,0.4,0.32,0.18,1.33
1480,Corvette,16,2004,Racing,TDK Mediactive,0.65,0.51,0,0.17,1.33
1481,Petz Wild Animals: Dolphinz,4,2007,Simulation,Ubisoft,0.71,0.48,0,0.13,1.33
1482,Pokemon Ranger: Guardian Signs,4,2010,Role-Playing,Nintendo,0.51,0.17,0.58,0.06,1.33
1483,Middle-Earth: Shadow of Mordor,30,2014,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
1484,Need for Speed Underground Rivals,19,2005,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32
1485,LEGO Batman: The Videogame,17,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.42,0,0.19,1.32
1486,Dark Souls II,17,2014,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32
1487,World of Warcraft: Wrath of the Lich King,13,2008,Role-Playing,Activision,0.01,0.13,0,1.18,1.32
1488,Kingdom Hearts II,17,2014,Role-Playing,Square Enix,0.52,0.43,0.18,0.19,1.32
1489,The LEGO Movie Videogame,28,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0,0.11,1.32
1490,TOCA 2: Touring Cars,15,1998,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32
1491,Gyromite,11,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
1492,NFL 2K3,16,2002,Sports,Atari,1.06,0.08,0,0.18,1.32
1493,Fighting Force,15,1997,Fighting,Eidos Interactive,0.73,0.5,0,0.09,1.32
1494,Mega Man Battle Network 4: Red Sun / Blue Moon,6,2003,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32
1495,MAG: Massive Action Game,17,2010,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,0.16,1.32
1496,Madden NFL 97,15,1996,Sports,Electronic Arts,0.73,0.5,0,0.09,1.32
1497,Cars 2,4,2011,Racing,Disney Interactive Studios,0.72,0.44,0.04,0.12,1.32
1498,Skylanders Giants,28,2012,Action,Activision,0.75,0.45,0,0.11,1.32
1499,LEGO Batman: The Videogame,19,,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0,0.28,1.32
1500,TNN Motor Sports Hardcore 4x4,15,1996,Racing,ASC Games,0.73,0.5,0,0.09,1.31
1501,IHRA Drag Racing 2,16,2002,Racing,Bethesda Softworks,0.64,0.5,0,0.17,1.31
1502,The Beatles: Rock Band,28,2009,Misc,MTV Games,0.97,0.23,0,0.11,1.31
1503,Tekken 6,28,2009,Fighting,Namco Bandai Games,0.71,0.42,0.05,0.13,1.31
1504,[Prototype],28,2009,Action,Activision,0.84,0.35,0,0.12,1.31
1505,Deal or No Deal,25,2009,Misc,Zoo Games,1.22,0,0,0.09,1.31
1506,Madagascar,16,2005,Platform,Activision,0.78,0.45,0,0.07,1.31
1507,Rugrats Studio Tour,15,1999,Adventure,THQ,0.57,0.67,0,0.07,1.31
1508,LEGO Battles,4,2009,Strategy,Warner Bros. Interactive Entertainment,0.81,0.38,0,0.12,1.31
1509,Pitfall II: Lost Caverns,31,1983,Platform,Activision,1.22,0.07,0,0.02,1.31
1510,Turok: Evolution,16,2002,Shooter,Acclaim Entertainment,0.64,0.5,0,0.17,1.31
1511,High School Musical 3: Senior Year DANCE!,25,2008,Misc,Disney Interactive Studios,0.68,0.49,0,0.13,1.31
1512,Gold's Gym: Cardio Workout,25,2008,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
1513,Burnout 3: Takedown,29,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,1.31
1514,Adventure,31,,Adventure,Atari,1.21,0.08,0,0.01,1.3
1515,Yu-Gi-Oh! The Sacred Cards,6,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0,0.02,1.3
1516,Crysis 2,17,2011,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3
1517,NBA Live 07,16,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3
1518,Saints Row IV,17,2013,Action,Deep Silver,0.56,0.44,0.09,0.21,1.3
1519,SingStar '80s,16,2005,Misc,Sony Computer Entertainment,0.27,0.02,0,1.02,1.3
1520,EA Playground,25,2007,Sports,Electronic Arts,0.69,0.48,0,0.13,1.3
1521,Test Drive 5,15,1997,Racing,Accolade,1.05,0.2,0,0.05,1.3
1522,Romancing SaGa 3,23,1995,Role-Playing,SquareSoft,0,0,1.29,0.01,1.3
1523,EA Sports Active 2,25,2010,Sports,Electronic Arts,0.78,0.4,0,0.11,1.3
1524,Digimon World,15,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3
1525,Rise of the Tomb Raider,30,2015,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
1526,Need for Speed Carbon,25,2006,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29
1527,Yoshi's Woolly World,26,2015,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29
1528,Mega Man Battle Network 3 Blue / White Version,6,2002,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29
1529,FIFA Street,17,2012,Sports,Electronic Arts,0.11,0.92,0,0.25,1.29
1530,Resident Evil Zero,7,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29
1531,Need for Speed: Most Wanted,28,2005,Racing,Electronic Arts,1,0.17,0.02,0.1,1.29
1532,Tom Clancy's Rainbow Six: Siege,30,2015,Shooter,Ubisoft,0.73,0.44,0,0.12,1.29
1533,Pirates of the Caribbean: The Curse of the Black Pearl,6,2003,Platform,TDK Mediactive,0.93,0.34,0,0.02,1.29
1534,Transformers,16,2004,Shooter,Atari,0.63,0.49,0,0.16,1.29
1535,Guitar Hero: Aerosmith,25,2008,Misc,Activision,1.04,0.14,0,0.1,1.29
1536,Mystery Case Files: MillionHeir,4,2008,Adventure,Nintendo,0.76,0.4,0,0.12,1.29
1537,Valkyria Chronicles,17,2008,Role-Playing,Sega,0.71,0.2,0.24,0.13,1.29
1538,Midnight Club 3: DUB Edition (America weekly sales),16,2005,Racing,Take-Two Interactive,1.22,0.05,0,0.01,1.29
1539,Champions of Norrath,16,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28
1540,Watch Dogs,28,2014,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
1541,Imagine: Wedding Designer,4,2008,Simulation,Ubisoft,0.55,0.59,0,0.14,1.28
1542,Metal Gear Solid V: Ground Zeroes,18,2014,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
1543,Yakuman,5,1989,Misc,Nintendo,0,0,1.28,0,1.28
1544,Assassin's Creed Syndicate,30,2015,Action,Ubisoft,0.61,0.56,0,0.11,1.28
1545,Army Men 3D,15,1999,Action,3DO,1.1,0.14,0,0.04,1.28
1546,WWE '13,28,2012,Action,THQ,0.72,0.45,0,0.11,1.28
1547,Twisted Metal 4,15,1999,Racing,989 Studios,1.07,0.16,0,0.04,1.28
1548,Manhunt,16,2003,Action,Take-Two Interactive,0.63,0.49,0,0.16,1.28
1549,Kid Icarus: Uprising,2,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28
1550,Silent Hill 2,16,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28
1551,Tomb Raider: Underworld,17,2008,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27
1552,Castlevania: Symphony of the Night,15,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27
1553,The Sims 2: Nightlife,13,2005,Simulation,Electronic Arts,1.22,0.05,0,0,1.27
1554,LEGO Batman: The Videogame,16,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27
1555,Road Rash,15,1995,Racing,Electronic Arts,0.71,0.48,0,0.08,1.27
1556,Pokemon Mystery Dungeon: Gates to Infinity,2,2012,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27
1557,Atlantis,31,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27
1558,NBA 2K9,28,2008,Sports,Take-Two Interactive,1,0.16,0,0.11,1.27
1559,WWE '12,28,2011,Fighting,THQ,0.74,0.4,0,0.12,1.27
1560,Tony Hawk's Underground,29,2003,Sports,Activision,0.85,0.37,0,0.05,1.27
1561,Hogan's Alley,11,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
1562,The Elder Scrolls Online,30,2015,Role-Playing,Bethesda Softworks,0.77,0.38,0,0.12,1.27
1563,Jillian Michaels' Fitness Ultimatum 2009,25,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27
1564,.hack//Infection Part 1,16,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27
1565,Rockstar Games presents Table Tennis,25,2007,Sports,Take-Two Interactive,0.39,0.73,0,0.15,1.27
1566,Sonic Adventure DX: Director's Cut,7,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27
1567,Jet Li: Rise to Honor,16,2004,Action,Sony Computer Entertainment,0.62,0.48,0,0.16,1.27
1568,Battle Arena Toshinden,15,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
1569,Yokai Watch 3,2,2016,Action,Level 5,0,0,1.27,0,1.27
1570,Kung Fu Panda,4,2008,Action,Activision,0.56,0.57,0,0.14,1.26
1571,Tamagotchi Connection: Corner Shop,4,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26
1572,Football Manager 2011,13,2010,Sports,Sega,0,1.01,0,0.25,1.26
1573,Devil Dice,15,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26
1574,Final Fantasy IV,4,2007,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26
1575,Hyrule Warriors,26,2014,Action,Nintendo,0.61,0.42,0.13,0.1,1.26
1576,Need for Speed Carbon,17,2006,Racing,Electronic Arts,0.49,0.52,0.03,0.21,1.26
1577,Championship Manager 03/04,13,2003,Sports,Eidos Interactive,0,1.15,0,0.11,1.26
1578,Brian Lara Cricket,15,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26
1579,Ratatouille,4,2007,Action,THQ,0.5,0.62,0,0.14,1.26
1580,Wheel of Fortune,15,1998,Misc,Hasbro Interactive,0.99,0.22,0,0.04,1.26
1581,LEGO The Lord of the Rings,28,2012,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0,0.11,1.26
1582,Winter Sports: The Ultimate Challenge,25,2007,Sports,RTL,0.45,0.68,0,0.12,1.26
1583,SOCOM: U.S. Navy SEALs Confrontation,17,2008,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25
1584,NBA Live 2001,15,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25
1585,Star Wars: The Force Unleashed,16,2008,Action,LucasArts,0.49,0,0.01,0.75,1.25
1586,Combat,31,,Action,Atari,1.17,0.07,0,0.01,1.25
1587,Tom Clancy's Rainbow Six: Vegas,17,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25
1588,Dragon Ball: Daimaou Fukkatsu,11,1988,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
1589,Gegege no Kitarou 2: Youkai Gundan no Chousen,11,1987,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
1590,Reel Fishing,15,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
1591,Injustice: Gods Among Us,17,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25
1592,Pokemon XD: Gale of Darkness,7,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
1593,Black,16,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25
1594,RollerCoaster Tycoon 2,13,2002,Strategy,Atari,1.19,0.05,0,0,1.25
1595,Lara Croft Tomb Raider: The Angel of Darkness,16,2003,Action,Eidos Interactive,0.61,0.48,0,0.16,1.25
1596,Tom Clancy's Splinter Cell: Pandora Tomorrow,16,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25
1597,Road Rash 3D,15,1998,Racing,Electronic Arts,1.05,0.16,0,0.04,1.25
1598,Ratchet: Deadlocked,16,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24
1599,Baldur's Gate: Dark Alliance,16,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24
1600,Transformers: Autobots / Decepticons,4,2007,Action,Activision,1.12,0.03,0,0.09,1.24
1601,Tales of Xillia,17,2011,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24
1602,Diddy Kong Racing DS,4,2007,Racing,Nintendo,1.1,0.04,0,0.1,1.24
1603,[Prototype],17,2009,Action,Activision,0.65,0.41,0,0.19,1.24
1604,Assassin's Creed: Bloodlines,19,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24
1605,Oddworld: Abe's Oddysee,15,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24
1606,The Witcher 3: Wild Hunt,30,2015,Role-Playing,Namco Bandai Games,0.66,0.47,0,0.11,1.24
1607,Ridge Racer V,16,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24
1608,WWE SmackDown vs. Raw 2009,16,2008,Fighting,THQ,0.69,0,0,0.55,1.24
1609,Tetris 2 (All region sales),5,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24
1610,Star Wars Episode III: Revenge of the Sith,29,2005,Action,Activision,0.82,0.38,0,0.04,1.24
1611,Ben 10: Protector of Earth,25,2007,Action,D3Publisher,0.55,0.55,0,0.13,1.23
1612,Frogger: The Great Quest,16,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23
1613,2010 FIFA World Cup South Africa,17,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
1614,Ninja Gaiden,29,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23
1615,Crash Bandicoot: The Wrath of Cortex,29,2002,Platform,Universal Interactive,0.59,0.57,0,0.07,1.23
1616,Driv3r,16,2004,Racing,Atari,0.6,0.47,0,0.16,1.23
1617,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,15,2003,Misc,Sony Computer Entertainment,0.69,0.47,0,0.08,1.23
1618,Farming Simulator 2015,13,2014,Simulation,Focus Home Interactive,0.08,1.02,0,0.13,1.23
1619,Guitar Hero: Aerosmith,28,2008,Misc,Activision,1,0.14,0,0.1,1.23
1620,Medal of Honor: Airborne,17,2007,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23
1621,Kirby Tilt 'n' Tumble,5,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23
1622,SpongeBob SquarePants: Battle for Bikini Bottom,6,2003,Platform,THQ,0.88,0.33,0,0.02,1.23
1623,Vigilante 8,15,1998,Racing,Activision,0.68,0.47,0,0.08,1.23
1624,Castlevania,11,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
1625,Donkey Kong Country 2,6,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23
1626,Bayonetta,17,2009,Action,Sega,0.44,0.41,0.21,0.17,1.23
1627,"WarioWare, Inc.: Mega MicroGame$",6,2003,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23
1628,Star Wars: Battlefront II,19,2005,Shooter,LucasArts,1.05,0.06,0.01,0.11,1.23
1629,Madden NFL 17,18,2016,Sports,Electronic Arts,0.92,0.08,0,0.23,1.23
1630,Boom Blox,25,2008,Puzzle,Electronic Arts,0.72,0.38,0,0.12,1.23
1631,Fallout 4,13,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1,1.23
1632,The Sims 2: Castaway,25,2007,Simulation,Electronic Arts,0.45,0.64,0,0.14,1.23
1633,LEGO Batman 2: DC Super Heroes,17,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0,0.2,1.22
1634,Naruto Shippuden: Ultimate Ninja Storm 2,17,2010,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22
1635,Mario Power Tennis,7,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
1636,Intelligent Qube,15,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1,0.02,1.22
1637,Game & Watch Gallery 2,5,1997,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22
1638,Game & Watch Gallery 3,5,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22
1639,Pac-Man,11,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
1640,Parfait: Chocolat Second Style,16,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22
1641,F1 2011,17,2011,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22
1642,Cars,19,2006,Racing,THQ,0.72,0.29,0,0.21,1.22
1643,NBA Live 99,15,1997,Sports,Electronic Arts,1.13,0.05,0,0.03,1.22
1644,Chocobo no Fushigi Dungeon,15,1997,Role-Playing,SquareSoft,0,0,1.14,0.08,1.22
1645,Golden Sun: The Lost Age,6,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22
1646,SimCity 2000,15,1996,Simulation,Maxis,0.68,0.46,0,0.08,1.22
1647,Max Payne,29,2001,Shooter,Take-Two Interactive,0.98,0.19,0,0.05,1.22
1648,WCW Mayhem,15,1998,Fighting,Electronic Arts,0.68,0.46,0,0.08,1.22
1649,NBA 2K2,16,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22
1650,NASCAR Thunder 2003,16,,Racing,Unknown,0.6,0.46,0,0.16,1.22
1651,Super Street Fighter IV: 3D Edition,2,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22
1652,Cars,16,2006,Racing,THQ,1.01,0.04,0,0.16,1.21
1653,Fuzion Frenzy,29,2001,Misc,Microsoft Game Studios,0.93,0.24,0,0.04,1.21
1654,Call of Duty: Finest Hour,29,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21
1655,FIFA Soccer 11,19,2010,Sports,Electronic Arts,0.13,0.7,0.01,0.37,1.21
1656,Sly Cooper and the Thievius Raccoonus,16,2002,Platform,Sony Computer Entertainment,1.03,0.14,0,0.04,1.21
1657,LEGO Indiana Jones 2: The Adventure Continues,4,2009,Action,Activision,0.66,0.43,0,0.12,1.21
1658,The Magical Quest starring Mickey Mouse,23,1992,Platform,Capcom,0.66,0.17,0.35,0.03,1.21
1659,Dragon Quest IV: Michibikareshi Monotachi,15,2001,Role-Playing,Enix Corporation,0,0,1.2,0.01,1.21
1660,Star Wars Episode 1: Jedi Power Battles,15,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21
1661,Dino Crisis 2,15,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21
1662,Need for Speed Underground,7,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21
1663,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,6,2007,Misc,,0.87,0.32,0,0.02,1.21
1664,Test Drive 4,15,1997,Racing,Electronic Arts,0.67,0.46,0,0.08,1.21
1665,FIFA Soccer 07,19,2006,Sports,Electronic Arts,0.24,0.65,0,0.32,1.21
1666,World Soccer Winning Eleven 9 (JP & Others sales),19,2005,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0,1.2
1667,The Lord of the Rings: The Fellowship of the Ring,16,2002,Action,Black Label Games,0.59,0.46,0,0.15,1.2
1668,LEGO Star Wars III: The Clone Wars,17,2011,Action,LucasArts,0.52,0.49,0,0.2,1.2
1669,ATV Offroad Fury 3,16,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2
1670,Pikmin 2,7,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2
1671,Just Dance 2016,25,2015,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
1672,Disney Sing It,25,2008,Misc,Disney Interactive Studios,0.77,0.31,0,0.12,1.2
1673,Battlefield: Hardline,30,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
1674,WWE 2K16,18,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.19,1.2
1675,Dragon Ball Z: La Legende Saien,23,1993,Fighting,Namco Bandai Games,0,0,1.2,0,1.2
1676,TwinBee,11,1986,Shooter,Konami Digital Entertainment,0,0,1.2,0,1.2
1677,Ganbare Goemon! Karakuri Douchuu,11,1986,Platform,Konami Digital Entertainment,0,0,1.2,0,1.2
1678,NFL 2K,3,1999,Sports,Sega,1.12,0.05,0,0.02,1.2
1679,SolarStriker,5,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2
